UMTS,732,101,5001,65538578,0,-74.1222,4.604,1363,20,1,1364398397,1764477545,0
UMTS,732,101,5001,65538577,0,-74.1268,4.605,2007,13,1,1364398397,1763614500,0
GSM,732,101,506,1022,0,-74.0754,4.611,1000,17,1,1364398402,1763096238,0
GSM,732,101,506,561,0,-74.0685,4.6276,1000,9,1,1364398402,1724339526,0
GSM,732,101,63,10703,0,-74.0363,4.8084,3007,18,1,1364398408,1732084858,0
GSM,732,101,63,3051,0,-74.0439,4.7667,1806,21,1,1364398408,1761713725,0
GSM,732,101,63,60101,0,-74.0479,4.7531,1454,26,1,1364398408,1729279562,0
GSM,732,101,63,863,0,-74.0477,4.7465,1000,12,1,1364398408,1726248722,0
UMTS,732,101,5001,65555890,0,-74.1108,4.5915,1188,18,1,1364398408,1765515293,0
UMTS,732,101,5001,65593542,0,-74.1065,4.5954,2205,27,1,1364398408,1764477546,0
UMTS,732,101,5001,65593493,0,-74.1208,4.605,633,50,1,1364398408,1728107024,0
UMTS,732,101,8807,102425435,0,-74.0842,4.62,7196,50,1,1364398414,1747805683,0
UMTS,732,101,8807,102426289,0,-74.0789,4.6053,1000,4,1,1364398414,1727933947,0
UMTS,732,101,5000,95082797,0,-74.0551,4.7079,1986,10,1,1364398414,1757565083,0
UMTS,732,101,5000,95083911,0,-74.0543,4.7072,2002,28,1,1364398414,1761366843,0
UMTS,732,101,6804,102099415,0,-74.0329,4.8351,3726,24,1,1364398437,1763528205,0
UMTS,732,101,8807,102379269,0,-74.078,4.6077,1000,23,1,1364398443,1764738092,0
GSM,732,101,451,15301,0,-74.0578,4.6835,914,26,1,1364398449,1761713656,0
GSM,732,101,451,653,0,-74.0575,4.6895,1444,27,1,1364398449,1760329708,0
GSM,732,101,63,152,0,-74.0458,4.7561,1000,22,1,1364398449,1744436723,0
GSM,732,101,63,62411,0,-74.0417,4.7798,1538,32,1,1364398449,1729287602,0
GSM,732,123,1824,21651,0,-74.0496,4.7262,1456,27,1,1364398455,1738651246,0
GSM,732,123,1824,21661,0,-74.0624,4.7253,2162,27,1,1364398461,1738651240,0
UMTS,732,101,5014,95217130,0,-74.0434,4.7745,2722,23,1,1364398461,1765601346,0
GSM,732,101,63,60102,0,-74.0448,4.7555,2629,22,1,1364398466,1729866003,0
UMTS,732,101,8807,102424235,0,-74.0833,4.5952,1000,22,1,1364398466,1761280315,0
UMTS,732,101,6804,102104180,0,-74.045,4.8524,3944,15,1,1364398472,1764651953,0
UMTS,732,101,6803,101774903,0,-74.0916,4.7986,7585,7,1,1364398472,1746078242,0
UMTS,732,101,5014,95218093,0,-74.0337,4.8132,8203,18,1,1364398472,1761366842,0
GSM,732,123,1824,21001,0,-74.0759,4.7165,901,29,1,1364398483,1729343583,0
GSM,732,101,52,12361,0,-74.1367,4.6861,1292,22,1,1366387834,1732862604,0
UMTS,732,101,5602,102302964,0,-74.0791,4.6503,2269,27,1,1367683406,1763353044,0
UMTS,732,101,5602,102301995,0,-74.0679,4.6937,6351,43,1,1367949006,1756439996,0
UMTS,732,101,5602,102358309,0,-74.0823,4.6734,7159,26,1,1367949171,1764738056,0
UMTS,732,101,5015,102451258,0,-74.1237,4.6292,1000,15,1,1367950892,1755316571,0
UMTS,732,101,5015,102451261,0,-74.1255,4.63,4178,30,1,1367950953,1746337308,0
UMTS,732,101,5015,102435067,0,-74.1227,4.6318,3288,27,1,1367954355,1765686861,0
UMTS,732,101,5015,102435066,0,-74.1189,4.6297,1357,27,1,1367955175,1764651976,0
UMTS,732,101,5015,102489568,51,-74.1105,4.6249,1000,23,1,1367955281,1764738098,0
UMTS,732,101,5016,102509924,0,-74.1156,4.6133,1492,19,1,1367955429,1764477544,0
UMTS,732,101,5001,65555892,0,-74.1141,4.5935,1147,13,1,1367966404,1763614500,0
UMTS,732,101,5015,102487846,0,-74.1233,4.6214,1000,23,1,1368013588,1755316571,0
UMTS,732,101,5015,102487847,0,-74.1249,4.6221,1262,23,1,1368013645,1760154540,0
UMTS,732,101,5015,102487845,0,-74.1229,4.6228,1000,18,1,1368013779,1764477543,0
UMTS,732,101,5015,102435065,0,-74.1215,4.6327,1152,27,1,1368013868,1760759112,0
UMTS,732,101,5015,102487907,0,-74.1174,4.6342,2017,27,1,1368013977,1765860474,0
UMTS,732,101,5015,102487905,0,-74.1163,4.6353,1347,27,1,1368014142,1764738108,0
UMTS,732,101,5015,102497712,0,-74.1192,4.6434,937,27,1,1368014300,1764046133,0
UMTS,732,101,5015,102489811,0,-74.1184,4.6337,4923,24,1,1368014394,1758081433,0
UMTS,732,101,5008,102291258,0,-74.0958,4.6629,1310,25,1,1368014933,1727848462,0
UMTS,732,101,5602,102307063,0,-74.087,4.6764,1564,18,1,1368015146,1753589152,0
UMTS,732,101,5602,102359299,0,-74.0862,4.6784,2683,22,1,1368015162,1741849176,0
UMTS,732,101,5602,102313102,0,-74.0837,4.6801,1000,7,1,1368015183,1751694190,0
UMTS,732,101,5602,102307353,0,-74.0759,4.6861,1521,21,1,1368015280,1750311986,0
UMTS,732,101,5000,95027759,0,-74.0568,4.6952,7257,23,1,1368015907,1765601347,0
UMTS,732,101,5000,95039378,0,-74.06,4.6973,762,25,1,1368038115,1756439995,0
UMTS,732,101,5000,95039379,0,-74.0603,4.7005,1485,17,1,1368038321,1758081453,0
UMTS,732,101,5008,102244042,0,-74.1026,4.6781,1000,10,1,1368038872,1722663862,0
UMTS,732,101,5008,102253947,0,-74.1061,4.6733,2038,22,1,1368038878,1763701275,0
UMTS,732,101,5008,102253949,0,-74.1068,4.6719,1614,41,1,1368038947,1729920893,0
UMTS,732,101,5008,102293953,0,-74.1145,4.6623,1000,18,1,1368039082,1760512258,0
UMTS,732,101,5015,102448027,0,-74.1244,4.6499,1505,27,1,1368039193,1763701276,0
UMTS,732,101,5015,102489035,0,-74.1266,4.6484,2909,27,1,1368039193,1763182599,0
UMTS,732,101,5015,102489037,0,-74.1335,4.646,1000,20,1,1368039361,1757476872,0
UMTS,732,101,5015,102491209,0,-74.1153,4.6281,1000,22,1,1368100564,1733813047,0
UMTS,732,101,5015,102489577,0,-74.1099,4.6274,1000,19,1,1368100626,1764305894,0
UMTS,732,101,5015,102487906,0,-74.1172,4.6335,1023,22,1,1368100959,1764046077,0
UMTS,732,101,5016,102503292,0,-74.0993,4.6482,1632,21,1,1368196528,1737010010,0
UMTS,732,101,5015,102489575,0,-74.1106,4.622,1901,12,1,1368321377,1756439973,0
UMTS,732,101,5015,102490161,0,-74.107,4.6192,1885,11,1,1368321983,1747805692,0
UMTS,732,101,5015,102436147,0,-74.1051,4.6261,1401,23,1,1369594971,1765860473,0
UMTS,732,101,5015,102489036,0,-74.1254,4.65,3188,17,1,1369595197,1757476977,0
UMTS,732,101,5008,102293683,0,-74.1214,4.6559,5687,27,1,1369595323,1763701275,0
UMTS,732,101,6803,101717601,0,-74.1759,4.7613,6006,10,1,1370469950,1721182835,0
GSM,732,101,52,17652,0,-74.1641,4.6966,3076,25,1,1370469950,1747978340,0
UMTS,732,101,5002,101596728,0,-74.2397,4.5719,1000,7,1,1372088470,1761453150,0
UMTS,732,101,10003,131306131,0,-75.4807,6.378,3551,11,1,1376078974,1758081425,0
UMTS,732,101,10003,131305929,0,-75.5052,6.3521,1000,12,1,1376080937,1737528032,0
UMTS,732,101,10003,131306159,0,-75.5097,6.3475,1000,9,1,1376081086,1737528032,0
UMTS,732,101,10003,131306160,0,-75.51,6.3419,3141,32,1,1376081158,1737528031,0
UMTS,732,101,10003,131306161,0,-75.5164,6.3459,1000,13,1,1376081953,1743057394,0
GSM,732,101,1014,22052,0,-75.5187,6.3351,3583,12,1,1376082036,1727910926,0
GSM,732,101,1014,37331,0,-75.5195,6.3473,1976,26,1,1376082185,1727534705,0
GSM,732,101,1014,23123,0,-75.5528,6.3213,1269,31,1,1376082669,1729108741,0
UMTS,732,101,6804,102052970,0,-73.9278,4.9603,3063,13,1,1376412146,1754541049,0
UMTS,732,101,6803,101725529,0,-74.4369,4.9634,7642,27,1,1377364553,1762318570,0
GSM,732,123,1824,22552,0,-74.0607,4.753,1250,115,1,1377481946,1722529262,0
UMTS,732,101,10003,131307177,0,-75.3747,6.1536,1840,22,1,1379947608,1738046046,0
UMTS,732,101,10003,131306220,0,-75.3759,6.1464,1169,24,1,1379947800,1763096264,0
UMTS,732,101,10003,131307175,0,-75.3732,6.1568,1000,10,1,1379947925,1750829623,0
UMTS,732,101,10003,131306231,0,-75.3681,6.1618,1964,26,1,1379947992,1758859436,0
UMTS,732,101,10003,131291274,0,-75.3685,6.1601,17145,19,1,1379948779,1763096287,0
UMTS,732,101,10003,131293416,36,-75.3667,6.1758,1940,27,1,1379949427,1751001892,0
UMTS,732,101,10003,131291273,511,-75.3462,6.174,3411,50,1,1379949746,1750829594,0
GSM,732,101,1014,38581,0,-75.5531,6.3175,7530,28,1,1380031677,1729788062,0
UMTS,732,101,10003,131305820,482,-75.5001,6.3173,2290,27,1,1380032289,1743057387,0
UMTS,732,101,10003,131305819,85,-75.4889,6.3242,4588,22,1,1380032294,1742366441,0
UMTS,732,101,10003,131306151,390,-75.4576,6.3041,3249,22,1,1380032552,1758081418,0
UMTS,732,101,10003,131306150,0,-75.4432,6.2769,1789,5,1,1380032743,1743057384,0
UMTS,732,101,10003,131306149,0,-75.4413,6.2752,3750,40,1,1380032748,1742366465,0
UMTS,732,101,10003,131305810,202,-75.4313,6.2567,5385,27,1,1380032748,1758081390,0
UMTS,732,101,10003,131291204,58,-75.4396,6.2377,4001,50,1,1380032748,1751001891,0
UMTS,732,101,10003,131305809,135,-75.4163,6.2421,2936,50,1,1380033470,1742366490,0
UMTS,732,101,10003,131306353,25,-75.3905,6.2197,2752,27,1,1380034055,1758081388,0
